trigger_name,event,table_name,timing,action_statement
trigger_set_company_tenant_sample_cutting_items,UPDATE,sample_cutting_items,BEFORE,EXECUTE FUNCTION set_company_tenant_from_sample_cutting()
trigger_set_tenant_sample_cuttings,INSERT,sample_cuttings,BEFORE,EXECUTE FUNCTION set_tenant_from_company()
trigger_set_tenant_sample_cuttings,UPDATE,sample_cuttings,BEFORE,EXECUTE FUNCTION set_tenant_from_company()
trigger_set_tenant_serial_numbers,INSERT,serial_numbers,BEFORE,EXECUTE FUNCTION set_tenant_from_company()
trigger_set_tenant_serial_numbers,UPDATE,serial_numbers,BEFORE,EXECUTE FUNCTION set_tenant_from_company()
trg_auto_tenant_shipment_documents,INSERT,shipment_documents,BEFORE,EXECUTE FUNCTION auto_set_tenant_id()
trg_auto_tenant_shipping_carriers,INSERT,shipping_carriers,BEFORE,EXECUTE FUNCTION auto_set_tenant_id()
trg_update_cart_item_timestamp,UPDATE,shopping_cart_items,BEFORE,EXECUTE FUNCTION update_cart_timestamp()
trg_update_cart_timestamp,UPDATE,shopping_carts,BEFORE,EXECUTE FUNCTION update_cart_timestamp()
trigger_update_alerts_timestamp,UPDATE,subscription_alerts,BEFORE,EXECUTE FUNCTION update_subscription_alerts_updated_at()
update_subscription_plans_updated_at,UPDATE,subscription_plans,BEFORE,EXECUTE FUNCTION update_updated_at_column()
trg_audit_subscriptions,INSERT,subscriptions,AFTER,EXECUTE FUNCTION auto_audit_log()
trg_audit_subscriptions,DELETE,subscriptions,AFTER,EXECUTE FUNCTION auto_audit_log()
trg_audit_subscriptions,UPDATE,subscriptions,AFTER,EXECUTE FUNCTION auto_audit_log()
trg_audit_super_admins,DELETE,super_admins,AFTER,EXECUTE FUNCTION log_sensitive_changes()
trg_audit_super_admins,INSERT,super_admins,AFTER,EXECUTE FUNCTION log_sensitive_changes()
trg_audit_super_admins,UPDATE,super_admins,AFTER,EXECUTE FUNCTION log_sensitive_changes()
trg_protect_super_admins,INSERT,super_admins,BEFORE,EXECUTE FUNCTION protect_super_admins()
trg_protect_super_admins,DELETE,super_admins,BEFORE,EXECUTE FUNCTION protect_super_admins()
trg_protect_super_admins,UPDATE,super_admins,BEFORE,EXECUTE FUNCTION protect_super_admins()
trg_auto_tenant_supplier_groups,INSERT,supplier_groups,BEFORE,EXECUTE FUNCTION auto_set_tenant_id()
trg_brand_isolation_supplier_groups,UPDATE,supplier_groups,BEFORE,EXECUTE FUNCTION enforce_brand_isolation()
trg_brand_isolation_supplier_groups,INSERT,supplier_groups,BEFORE,EXECUTE FUNCTION enforce_brand_isolation()
trg_auto_company_suppliers,INSERT,suppliers,BEFORE,EXECUTE FUNCTION auto_set_company_id()
trg_auto_tenant_suppliers,INSERT,suppliers,BEFORE,EXECUTE FUNCTION auto_set_tenant_id()
trg_brand_isolation_suppliers,INSERT,suppliers,BEFORE,EXECUTE FUNCTION enforce_brand_isolation()
trg_brand_isolation_suppliers,UPDATE,suppliers,BEFORE,EXECUTE FUNCTION enforce_brand_isolation()
trg_update_timestamp_suppliers,UPDATE,suppliers,BEFORE,EXECUTE FUNCTION update_updated_at()
trg_tenant_languages_updated_at,UPDATE,tenant_languages,BEFORE,EXECUTE FUNCTION update_tenant_languages_updated_at()
trigger_update_tenant_subscriptions_timestamp,UPDATE,tenant_subscriptions,BEFORE,EXECUTE FUNCTION update_tenant_subscriptions_updated_at()
trigger_update_tenant_users_timestamp,UPDATE,tenant_users,BEFORE,EXECUTE FUNCTION update_tenant_users_updated_at()
protect_tenant_sensitive,UPDATE,tenants,BEFORE,EXECUTE FUNCTION protect_tenant_fields()
trg_on_tenant_created,INSERT,tenants,AFTER,EXECUTE FUNCTION on_tenant_created()
trg_protect_tenants,UPDATE,tenants,BEFORE,EXECUTE FUNCTION protect_tenants()
trg_update_timestamp_tenants,UPDATE,tenants,BEFORE,EXECUTE FUNCTION update_updated_at()
trigger_setup_chart_templates,INSERT,tenants,AFTER,EXECUTE FUNCTION auto_setup_chart_templates_for_new_tenant()
trg_auto_tenant_transit_reservations,INSERT,transit_reservations,BEFORE,EXECUTE FUNCTION auto_set_tenant_id()
update_user_feature_permissions_updated_at,UPDATE,user_feature_permissions,BEFORE,EXECUTE FUNCTION update_updated_at_column()
update_user_module_permissions_updated_at,UPDATE,user_module_permissions,BEFORE,EXECUTE FUNCTION update_updated_at_column()
protect_user_profile_trigger,UPDATE,user_profiles,BEFORE,EXECUTE FUNCTION protect_user_profile_fields()
protect_user_profiles_sensitive,UPDATE,user_profiles,BEFORE,EXECUTE FUNCTION protect_sensitive_user_fields()
trg_protect_user_profiles,UPDATE,user_profiles,BEFORE,EXECUTE FUNCTION protect_user_profiles()
trg_update_timestamp_user_profiles,UPDATE,user_profiles,BEFORE,EXECUTE FUNCTION update_updated_at()
update_user_profiles_updated_at,UPDATE,user_profiles,BEFORE,EXECUTE FUNCTION update_updated_at_column()
protect_role_assignments_trigger,INSERT,user_role_assignments,BEFORE,EXECUTE FUNCTION protect_role_assignments()
protect_role_assignments_trigger,DELETE,user_role_assignments,BEFORE,EXECUTE FUNCTION protect_role_assignments()
protect_role_assignments_trigger,UPDATE,user_role_assignments,BEFORE,EXECUTE FUNCTION protect_role_assignments()
trg_audit_user_roles,INSERT,user_roles,AFTER,EXECUTE FUNCTION log_sensitive_changes()
trg_audit_user_roles,DELETE,user_roles,AFTER,EXECUTE FUNCTION log_sensitive_changes()
trg_audit_user_roles,UPDATE,user_roles,AFTER,EXECUTE FUNCTION log_sensitive_changes()
trg_protect_user_roles,INSERT,user_roles,BEFORE,EXECUTE FUNCTION protect_user_roles()
trg_protect_user_roles,UPDATE,user_roles,BEFORE,EXECUTE FUNCTION protect_user_roles()
trg_warehouse_settings_updated_at,UPDATE,warehouse_settings,BEFORE,EXECUTE FUNCTION update_warehouse_settings_timestamp()
trg_auto_company_warehouses,INSERT,warehouses,BEFORE,EXECUTE FUNCTION auto_set_company_id()
